0-cheese,Chess_QiSi_yellow
1-AppleCore_green,Chess_PingGuoHe_green
1-Baolingqiu_blue,Chess_Baolingqiu_blue
1-Baolingqiu_purple,Chess_Baolingqiu_purple
1-Baolingqiu_red,Chess_Baolingqiu_red
1-baozhen_red,Chess_baozhen_red
1-BeiJiXiong_brown,Chess_BeiJiXiong_brown
1-benzi_blue,Chess_benzi_blue
1-benzi_pink,Chess_benzi_pink
1-benzi_red,Chess_benzi_red
1-benzi_yellow,Chess_benzi_yellow
1-binggan_white,Chess_binggan_white
1-Blocks_rectangle_green,Chess_ChangFangXing_green
1-Blocks_triangle_green,Chess_SanJiaoXing_green
1-Bottle_blue,Chess_PingZi_blue
1-Bouquet_blue,Chess_HuaShu_blue
1-Bouquet_pink,Chess_HuaShu_pink
1-BowlingPins_blue,Chess_BaoLingPins_blue
1-BowlingPins_green,Chess_BowlingPins_green
1-BowlingPins_pink,Chess_BowlingPins_pink
1-Car_blue,Chess_Che_blue
1-Car_red,Chess_Che_red
1-ChaHu_blue,Chess_ChaHu_blue
1-ChaHu_orange,Chess_ChaHu_orange
1-ChaHu_red,Chess_ChaHu_red
1-changzhuo_yellow,Chess_changzhuo_yellow
1-dagu_red,Chess_Gu_red
1-DentalFloss_green,Chess_YaXian_green
1-DiQiuYi_blue,Chess_DiQiuYi_blue
1-Egg_White,Chess_Dan_White
1-ElectricBrush_blue,Chess_DianDongYaShua_blue
1-ElectricBrush_green,Chess_DianDongYaShua_green
1-ElectricBrush_white,Chess_DianDongYaShua_white
1-ElectricClipper_black,Chess_diantuizi_black
1-ElectricClipper_white,Chess_diantuizi_white
1-ElectricClipper_yellow,Chess_diantuizi_yellow
1-FeiJi_blue,Chess_FeiJi_blue
1-FeiJi_green,Chess_FeiJi_green
1-FeiJi_red,Chess_FeiJi_red
1-FeizhouShouGu_purple,Chess_FeizhouShouGu_purple
1-FloralScissors_yellow,Chess_FloralScissors_yellow
1-FlowerBasket_yellow,Chess_FlowerBasket_yellow
1-gaogenxie_pink,Chess_gaogenxie_pink
1-gaogenxie_purple,Chess_gaogenxie_purple
1-HairBrush_red,Chess_HairBrush_red
1-HairBrush_yellow,Chess_HairBrush_yellow
1-HairCuttingScissors_black,Chess_HairCuttingScissors_black
1-HairDryer_red,Chess_HairDryer_red
1-HairGel_white,Chess_HairGel_white
1-huaban02_blue,Chess_huaban02_blue
1-huaban02_red,Chess_huaban02_red
1-HuaBi_blue,Chess_HuaBi_blue
1-HuaBi_red,Chess_HuaBi_red
1-HuaBi_yellow,Chess_HuaBi_yellow
1-HuaDuo_pink,Chess_HuaDuo_pink
1-HuaDuo_red,Chess_HuaDuo_red
1-HuaDuo_yellow,Chess_HuaDuo_yellow
1-huazhuanghe_pink,Chess_huazhuanghe_pink
1-huazhuanghe_purple,Chess_huazhuanghe_purple
1-KaChe_blue,Chess_KaChe_blue
1-KaChe_red,Chess_KaChe_red
1-Leaf_yellow,Chess_YeZi_yellow
1-makebei_blue,Chess_makebei_blue
1-makebei_green,Chess_makebei_green
1-maozi_blue,Chess_maozi_blue
1-maozi_pink,Chess_maozi_pink
1-maozi_purple,Chess_maozi_purple
1-maozi_white,Chess_maozi_white
1-milk_brown,Chess_NiuNai_brown
